Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
8.963353999999999,1650,,,,-0.05078125,-0.0806640625,-0.9869140625,-0.007056634939421452,0.004187636669509938,16.01549616576815,1.1654055848527693,1529,1095,18.595439616814893,1.3095297786869058,2.624954602820373,0.0014033072197036404,0.0003504337999570417,0.0962890625,,
9.228292500000014,1650,,,,0.1052734375,-0.34375,-0.9908203125,-0.04840849068677918,0.09441595177509951,15.797707020518606,6.310506900641015,6873,7708,99.68352600068867,40.6233921210896,39.68879649568771,0.0016893117849786986,0.0009120258858282956,0.4630859375,,
9.48894350000002,1650,,,,0.0189453125,0.0220703125,-0.98984375,-0.08904932166461926,0.4178358700912714,15.787017390538043,6.515785271936617,7126,8313,102.86480970636487,77.52163396098136,75.36149475764958,0.00539742867730367,0.004064065488230947,0.830078125,,
9.73817500000001,1650,,,,-0.044140625,-0.048046875,-0.976953125,-0.08671360850233978,0.570171383547181,15.787797516131766,6.478084564359984,7130,8319,102.27468650129916,75.54284034563672,73.86244425800078,0.007549126074226054,0.005575051866120455,1.001953125,,
9.988379000000016,1650,,,,0.0802734375,0.0138671875,-0.9849609375,-0.08582902283383771,0.6046764702506644,15.78904144861777,6.458361553204111,7130,8318,101.9713380301612,74.757916257051,73.31266875448975,0.008088563375958828,0.005929912146718517,1.0275390625,,
10.238519999999996,1650,,,,0.0583984375,-0.0107421875,-0.9587890625,-0.08559426099689649,0.6111975406005478,15.789083340631029,6.463538923336655,7132,8323,102.0533532152272,74.60029587998062,73.09935468387405,0.008192965682038148,0.005989002848285202,1.135546875,,
10.496183500000008,1650,,,,0.0330078125,0.0484375,-0.964453125,-0.08543050296540182,0.6122489267686516,15.788757259181676,6.462920414881891,7036,8323,102.04145870032315,74.45763618158674,72.96870730370743,0.008222787229734527,0.006000054574485316,1.159765625,,
10.740026500000008,1650,,,,-0.012890625,0.0185546875,-1.0013671875,-0.085263144142529,0.6135578133989116,15.788851497556953,6.449789111587004,7127,8317,101.83476079525602,74.26373014301464,72.92574759147826,0.00826187915563547,0.006025037543952539,1.1556640625,,
10.988619000000018,1650,,,,0.0623046875,0.0177734375,-0.9921875,-0.08518295554418816,0.6131516291178556,15.788477246028014,6.443205008078408,7132,8321,101.72839540421339,74.22788888999996,72.96678330733643,0.008260404015423781,0.006027346386911572,1.150390625,,
11.239487500000019,1650,,,,0.0078125,-0.030859375,-0.9701171875,-0.0850027387216957,0.6132006624531237,15.788632696100937,6.433131653119259,7129,8316,101.57035108663247,74.02757247447349,72.88307635571864,0.008283417329650237,0.0060372052868003,1.22421875,,
